SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,223 Oakton Ridge Pl,Garner,NC,27529,290990,4,3.0,Wake,2800,12196,2017,259,104,28,Active,May-13-2018 01:00 PM,May-13-2018 05:00 PM,http://www.redfin.com/NC/Garner/223-Oakton-Ridge-Pl-27529/home/143444405,TMLS,2148020,N,Y,35.69664,-78.59967
MLS Listing,,Single Family Residential,211 Oakton Ridge Pl,Garner,NC,27529,284990,4,3.0,Wake,2635,10454,2017,270,108,28,Active,May-13-2018 01:00 PM,May-13-2018 05:00 PM,http://www.redfin.com/NC/Garner/211-Oakton-Ridge-Pl-27529/home/143303182,TMLS,2146006,N,Y,35.69664,-78.59967
MLS Listing,,Single Family Residential,1510 Battery Dr,Raleigh,NC,27610,369900,3,2.0,Battery Heights,1285,10890,1968,276,288,,Active,,,http://www.redfin.com/NC/Raleigh/1510-Battery-Dr-27610/home/41152869,TMLS,2144936,N,Y,35.7767521,-78.6162214
MLS Listing,,Single Family Residential,800 Crown Crossing Ln,Raleigh,NC,27610,395000,3,3.0,Crown Crossing,2759,12632,2017,289,143,,Active,,,http://www.redfin.com/NC/Raleigh/800-Crown-Crossing-Ln-27610/home/101693809,TMLS,2142348,N,Y,35.7439409,-78.6272395
MLS Listing,,Single Family Residential,116 Tallowwood Dr,Garner,NC,27529-5922,384500,4,3.0,Everwood,3093,26136,2012,295,124,15,Active,,,http://www.redfin.com/NC/Garner/116-Tallowwood-Dr-27529/home/41362019,TMLS,2141383,N,Y,35.6751574,-78.5912122
MLS Listing,,Single Family Residential,204 Summers Walk Cir,Garner,NC,27529,289900,3,2.0,Summers Walk,1800,12632,1996,316,161,18,Active,,,http://www.redfin.com/NC/Garner/204-Summers-Walk-Cir-27529/home/41217197,TMLS,2137291,N,Y,35.679983,-78.6227839
New Construction Plan,,Single Family Residential,Newton,Apex,NC,27539,385990,4,3.0,Blaney Farms,2678,,,,144,,Active,,,http://www.redfin.com/NC/Apex/Blaney-Farms/Newton/home/145583746,NewHomeSource.com,Plan-41249142,N,Y,35.6723428,-78.7170459
New Construction Plan,,Single Family Residential,The Gaston 2585,Cary,NC,27518,381500,3,2.5,Wynwood South,2585,,,,148,,Active,,,http://www.redfin.com/NC/Cary/Wynwood-South/The-Gaston-2585/home/145080042,NewHomeSource.com,Plan-41481330,N,Y,35.754221,-78.753219
New Construction Plan,,Single Family Residential,Pressley II,Apex,NC,27539,395990,4,3.0,Blaney Farms,2865,,,,138,,Active,,,http://www.redfin.com/NC/Apex/Blaney-Farms/Pressley-II/home/102540561,NewHomeSource.com,Plan-41173945,N,Y,35.67526,-78.72154
New Construction Plan,,Single Family Residential,Salisbury,Raleigh,NC,27606,320990,3,2.5,Pipers Crossing,2296,,,,140,,Active,,,http://www.redfin.com/NC/Raleigh/Pipers-Crossing/Salisbury/home/144539987,NewHomeSource.com,Plan-41461085,N,Y,35.74129,-78.741815
New Construction Plan,,Single Family Residential,The Fontana II 2194,Cary,NC,27518,350500,3,2.5,Wynwood South,2194,,,,160,,Active,,,http://www.redfin.com/NC/Cary/Wynwood-South/The-Fontana-II-2194/home/144110514,NewHomeSource.com,Plan-41424394,N,Y,35.754221,-78.753219
New Construction Plan,,Single Family Residential,McCauly,Raleigh,NC,27606,364990,4,3.0,Pipers Grove,2505,,,,146,,Active,,,http://www.redfin.com/NC/Raleigh/Pipers-Grove/McCauly/home/144721373,NewHomeSource.com,Plan-41461004,N,Y,35.741299,-78.742491
New Construction Plan,,Single Family Residential,The Hickory II 2749,Cary,NC,27518,385500,4,2.5,Wynwood South,2749,,,,140,,Active,,,http://www.redfin.com/NC/Cary/Wynwood-South/The-Hickory-II-2749/home/144110516,NewHomeSource.com,Plan-41424392,N,Y,35.754221,-78.753219
New Construction Plan,,Single Family Residential,The Jordan II 2434,Cary,NC,27518,370500,3,2.5,Wynwood South,2434,,,,152,,Active,,,http://www.redfin.com/NC/Cary/Wynwood-South/The-Jordan-II-2434/home/144110515,NewHomeSource.com,Plan-41424393,N,Y,35.754221,-78.753219
New Construction Plan,,Single Family Residential,The McIntosh,Garner,NC,27529,281900,4,3.5,Vandora West,2809,,,,100,,Active,,,http://www.redfin.com/NC/Garner/Vandora-West/The-McIntosh/home/143985245,NewHomeSource.com,Plan-41398980,N,Y,35.712428,-78.618721
New Construction Plan,,Single Family Residential,The McPherson,Garner,NC,27529,260900,4,2.5,Vandora West,2234,,,,117,,Active,,,http://www.redfin.com/NC/Garner/Vandora-West/The-McPherson/home/143985244,NewHomeSource.com,Plan-41398981,N,Y,35.712428,-78.618721
New Construction Plan,,Single Family Residential,The Greenbrier,Garner,NC,27529,256900,3,2.5,Vandora West,2171,,,,118,,Active,,,http://www.redfin.com/NC/Garner/Vandora-West/The-Greenbrier/home/143985246,NewHomeSource.com,Plan-41398979,N,Y,35.712428,-78.618721
New Construction Plan,,Single Family Residential,The Addison,Garner,NC,27529,261900,3,2.5,Vandora West,2279,,,,115,,Active,,,http://www.redfin.com/NC/Garner/Vandora-West/The-Addison/home/143985247,NewHomeSource.com,Plan-41398978,N,Y,35.712428,-78.618721
New Construction Plan,,Single Family Residential,The Carlyle,Garner,NC,27529,259900,3,2.5,Vandora West,2144,,,,121,,Active,,,http://www.redfin.com/NC/Garner/Vandora-West/The-Carlyle/home/143985249,NewHomeSource.com,Plan-41398976,N,Y,35.712428,-78.618721
New Construction Plan,,Single Family Residential,The Buffington,Garner,NC,27529,266900,4,2.5,Vandora West,2508,,,,106,,Active,,,http://www.redfin.com/NC/Garner/Vandora-West/The-Buffington/home/143985250,NewHomeSource.com,Plan-41398975,N,Y,35.712428,-78.618721
New Construction Plan,,Single Family Residential,Oakwood,Raleigh,NC,27603,297990,3,2.5,Cypress Meadow,2390,,,,125,,Active,,,http://www.redfin.com/NC/Raleigh/Cypress-Meadow/Oakwood/home/104395803,NewHomeSource.com,Plan-41219564,N,Y,35.6628868,-78.6979645
New Construction Plan,,Single Family Residential,Stratford,Raleigh,NC,27603,322990,5,3.0,Cypress Meadow,3192,,,,101,,Active,,,http://www.redfin.com/NC/Raleigh/Cypress-Meadow/Stratford/home/104395807,NewHomeSource.com,Plan-41165721,N,Y,35.6628868,-78.6979645
New Construction Plan,,Single Family Residential,Concord,Raleigh,NC,27603,277990,3,2.5,Cypress Meadow,2066,,,,135,,Active,,,http://www.redfin.com/NC/Raleigh/Cypress-Meadow/Concord/home/104395806,NewHomeSource.com,Plan-41165722,N,Y,35.6628868,-78.6979645
New Construction Plan,,Single Family Residential,Somerset,Raleigh,NC,27603,313990,4,3.0,Cypress Meadow,2883,,,,109,,Active,,,http://www.redfin.com/NC/Raleigh/Cypress-Meadow/Somerset/home/104395805,NewHomeSource.com,Plan-41165723,N,Y,35.6628868,-78.6979645
