SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
New Construction Plan,Single Family Residential,Floorplan 7245,Tomball,TX,77375,635990,4,5.0,"The Woodlands, Creekside 75s, Wooded Overlook",3822,,,3,Garage,25,Active,,,,,635990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7245/home/103182075,Builder Digital eXperience (BDX),Plan-1141022,NewHomeSource.com,N,Y,30.144118,-95.564015,false
New Construction Plan,Single Family Residential,Floorplan 7235,Tomball,TX,77375,618990,4,4.0,"The Woodlands, Creekside 75s, Wooded Overlook",3462,,,3,Garage,25,Active,,,,,618990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7235/home/102886075,Builder Digital eXperience (BDX),Plan-1141021,NewHomeSource.com,N,Y,30.144118,-95.564015,false
New Construction Plan,Single Family Residential,Floorplan 7450,Tomball,TX,77375,575990,4,4.5,"The Woodlands, Creekside 75s, Wooded Overlook",3540,,,3,Garage,25,Active,,,,,575990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7450/home/102449495,Builder Digital eXperience (BDX),Plan-1060900,NewHomeSource.com,N,Y,30.145498,-95.561539,false
New Construction Plan,Single Family Residential,Floorplan 7435,Tomball,TX,77375,592990,4,4.5,"The Woodlands, Creekside 75s, Wooded Overlook",3554,,,3,Garage,25,Active,,,,,592990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7435/home/102449497,Builder Digital eXperience (BDX),Plan-1060899,NewHomeSource.com,N,Y,30.145498,-95.561539,false
New Construction Plan,Single Family Residential,Floorplan 7420,Tomball,TX,77375,534990,4,3.5,"The Woodlands, Creekside 75s, Wooded Overlook",3187,,,3,Garage,25,Active,,,,,534990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7420/home/102449498,Builder Digital eXperience (BDX),Plan-1060898,NewHomeSource.com,N,Y,30.145498,-95.561539,false
MLS Listing,Single Family Residential,2 Birch Canoe Dr,The Woodlands,TX,77375,594000,4,3.5,The Woodlands Creekside Park,3396,11080,2015,3,Garage,278,Active,2016-01-30,10:00,18:00,2016-01-16,673494,,,http://www.redfin.com/TX/The-Woodlands/2-Birch-Canoe-Dr-77375/home/70330157,Houston Association of Realtors Multiple Listing Service (HARMLS),71068493,RE/MAX Professional Group,N,Y,30.145135,-95.558855,false
MLS Listing,Single Family Residential,22 Canopy Green Dr,The Woodlands,TX,77375,550139,4,3.5,Creekside Park West Canopy Green,3420,8593,2015,3,Garage,162,Active,2016-01-30,10:00,18:00,2016-01-16,620869,,,http://www.redfin.com/TX/The-Woodlands/22-Canopy-Green-Dr-77375/home/92332507,Houston Association of Realtors Multiple Listing Service (HARMLS),59527874,RE/MAX Professional Group,N,Y,30.145135,-95.558855,false
New Construction Home,Single Family Residential,35 Pioneer Canyon Pl,Tomball,TX,77375,425745,4,2.5,The Woodlands - Wyatt Oaks,2904,,2016,2,Garage,58,Active,,,,2016-01-30,420395,,,http://www.redfin.com/TX/Tomball/35-Pioneer-Canyon-Pl-77375/home/102178111,Builder Digital eXperience (BDX),1185806,NewHomeSource.com,N,Y,30.139625,-95.559886,false
MLS Listing,Single Family Residential,15 Argosy Bnd,The Woodlands,TX,77375,638133,4,3.5,Creekside Park,3614,,2016,3,Garage,8,Active,,,,,620530,,,http://www.redfin.com/TX/Tomball/15-Argosy-Bend-Pl-77375/home/103182325,Houston Association of Realtors Multiple Listing Service (HARMLS),12933114,Trendmaker Homes,N,Y,30.143756,-95.564842,false
MLS Listing,Single Family Residential,25 Early Dawn Ct,The Woodlands,TX,77381,220000,4,2.0,The Woodlands Panther Creek,1825,6300,1982,2,Garage,11,Active,,,,,220000,,,http://www.redfin.com/TX/Spring/25-Early-Dawn-Ct-77381/home/33226719,Houston Association of Realtors Multiple Listing Service (HARMLS),22515783,Keller Williams Realty The Woodlands,N,Y,30.159583,-95.501329,false
